"","study_ID","author","publication_year","journal","DOI","language","coder_initials","exclude","Exclusion_rationale","country","locality","Site_period","coordinates_lat","coordinates_lon","coordinate_source","year_start","year_end","month_start","month_end","day_period_reported","day_period_start","day_period_end","night_period_reported","night_period_start","night_period_end","day_pollination_hrs","night_pollination_hrs","study_design_comments","plant_species","plant_cultivar","plant_native_status","plant_crop","Pollinator_observations_included","treatment_condition","treatment_comments","additional_treatment","treatment_effectiveness_metric","treatmenteffectiveness_metric_comments","extraction_type","sample_size","effectiveness_value","effectiveness_units","effect_error","effect_error_L","effect_error_U","effect_error_units","statistical_test","mechanism_proposed","mechanism_comments","Study_comments"
"1","Jürgens_2014","Jürgens",2014,"Botanical Journal of the Linnean Society","https://doi.org/10.1111/boj.12183","E","CCN","n",NA,"Germany","Bayreuth",NA,49.925183,"11.585638","based on place name","2006",NA,"April","April","y","0600","2000","y","2000","0600",1400,1400,"""four pollination treatments: (1) day and night pollination (= control): open, no exclusion of insects; (2) day pollination: exclusion of insects during the night (20:00–06:00 h), but allowing wind pollination; (3) night pollination: exclusion of insects during the day (06:00–20:00 h), but allowing wind pollination; (4) wind pollination: exclusion of all insects during the day and at night; pollination only by wind""","Salix caprea",NA,"native","n","y","night pollination",NA,NA,"seed set","authors report two pollination measures: ""seeds per capsule"" & ""seeds per catkin"". They are qualitative identical, so only reporting seeds per catkin",NA,5,60.7679465776293,"seeds/flower",35.0584307178631,"35.058430717863104",NA,"SE",NA,"y","Most Salix species flower early in the season and encounter unpredictable weather conditions and varying insect abundance. An open and generalized pollination system may ensure reproductive success under such unstable conditions (Douglas, 1997; Peeters & Totland, 1999; Tamura & Kudo, 2000)","Need to email authors for study months. Detailed pollination observations and floral scent observation/experiments also included"
"2","Jürgens_2014","Jürgens",2014,"Botanical Journal of the Linnean Society","https://doi.org/10.1111/boj.12183","E","CCN","n",NA,"Germany","Bayreuth",NA,49.925183,"11.585638","based on place name","2006",NA,"April","April","y","0600","2000","y","2000","0600",1400,1400,"""four pollination treatments: (1) day and night pollination (= control): open, no exclusion of insects; (2) day pollination: exclusion of insects during the night (20:00–06:00 h), but allowing wind pollination; (3) night pollination: exclusion of insects during the day (06:00–20:00 h), but allowing wind pollination; (4) wind pollination: exclusion of all insects during the day and at night; pollination only by wind""","Salix caprea",NA,"native","n","y","day pollination",NA,NA,"seed set","authors report two pollination measures: ""seeds per capsule"" & ""seeds per catkin"". They are qualitative identical, so only reporting seeds per catkin",NA,5,170.033388981636,"seeds/flower",62.520868113522,"62.520868113521999",NA,"SE",NA,"y","Most Salix species flower early in the season and encounter unpredictable weather conditions and varying insect abundance. An open and generalized pollination system may ensure reproductive success under such unstable conditions (Douglas, 1997; Peeters & Totland, 1999; Tamura & Kudo, 2000)","Need to email authors for study months. Detailed pollination observations and floral scent observation/experiments also included"
"3","Jürgens_2014","Jürgens",2014,"Botanical Journal of the Linnean Society","https://doi.org/10.1111/boj.12183","E","CCN","n",NA,"Germany","Bayreuth",NA,49.925183,"11.585638","based on place name","2006",NA,"April","April","y","0600","2000","y","2000","0600",1400,1400,"""four pollination treatments: (1) day and night pollination (= control): open, no exclusion of insects; (2) day pollination: exclusion of insects during the night (20:00–06:00 h), but allowing wind pollination; (3) night pollination: exclusion of insects during the day (06:00–20:00 h), but allowing wind pollination; (4) wind pollination: exclusion of all insects during the day and at night; pollination only by wind""","Salix caprea",NA,"native","n","y","complete exclusion","authors refer to this treatment as wind pollination",NA,"seed set","authors report two pollination measures: ""seeds per capsule"" & ""seeds per catkin"". They are qualitative identical, so only reporting seeds per catkin",NA,5,53.7562604340567,"seeds/flower",33.30550918197,"33.305509181969995",NA,"SE",NA,"y","Most Salix species flower early in the season and encounter unpredictable weather conditions and varying insect abundance. An open and generalized pollination system may ensure reproductive success under such unstable conditions (Douglas, 1997; Peeters & Totland, 1999; Tamura & Kudo, 2000)","Need to email authors for study months. Detailed pollination observations and floral scent observation/experiments also included"
"4","Jürgens_2014","Jürgens",2014,"Botanical Journal of the Linnean Society","https://doi.org/10.1111/boj.12183","E","CCN","n",NA,"Germany","Bayreuth",NA,49.925183,"11.585638","based on place name","2006",NA,"April","April","y","0600","2000","y","2000","0600",1400,1400,"""four pollination treatments: (1) day and night pollination (= control): open, no exclusion of insects; (2) day pollination: exclusion of insects during the night (20:00–06:00 h), but allowing wind pollination; (3) night pollination: exclusion of insects during the day (06:00–20:00 h), but allowing wind pollination; (4) wind pollination: exclusion of all insects during the day and at night; pollination only by wind""","Salix caprea",NA,"native","n","y","open pollination","authors refer to this treatment as postive control",NA,"seed set","authors report two pollination measures: ""seeds per capsule"" & ""seeds per catkin"". They are qualitative identical, so only reporting seeds per catkin",NA,5,243.656093489148,"seeds/flower",78.297161936561,"78.297161936561025",NA,"SE",NA,"y","Most Salix species flower early in the season and encounter unpredictable weather conditions and varying insect abundance. An open and generalized pollination system may ensure reproductive success under such unstable conditions (Douglas, 1997; Peeters & Totland, 1999; Tamura & Kudo, 2000)","Need to email authors for study months. Detailed pollination observations and floral scent observation/experiments also included"
"5","Jennersten_1991","Jennersten",1991,"The American Midland Naturalist","https://www.jstor.org/stable/2426365","E","CCN","n",NA,"United States","Maine",NA,43.8333333,"-70.0833333333333","provided in text","1987",NA,"July","July","y","0900","1600","y","2100","0400",700,1700,"We randomly selected 30 groups of four milkweed stalks dis- tributed among four clones. The umbels of one of these stalks were covered with fine-mesh nylon tricot netting during the day and exposed to insects between 2100 and 0400 h (night treatment); during a similar period of time those of the second stalk were covered during the dark and exposed to insects from 0900 to 1600 h (day treatment). Umbels of the third stalk were covered for 24 h and six flowers were hand-pollinated (each with two pollinia) during their first blooming day with pollinia from another clone. Half of these stalks were hand-pollinated at midday and the other half at midnight. Umbels of the fourth stalk were not covered (controls)","Asclepias syriaca",NA,"native","n","y","open pollination","authors refer to this as control",NA,"fruit set","Used the harvest measure (IV), which the authors also analyse",NA,30,1.83663366336633,"number of pods per stalk",0.4009900990099,"0.40099009900989979",NA,"SE",NA,"n",NA,"authors also include bagged day and night hand pollination, results not depicted in the MS"
"6","Jennersten_1991","Jennersten",1991,"The American Midland Naturalist","https://www.jstor.org/stable/2426365","E","CCN","n",NA,"United States","Maine",NA,43.8333333,"-70.0833333333333","provided in text","1987",NA,"July","July","y","0900","1600","y","2100","0400",700,1700,"We randomly selected 30 groups of four milkweed stalks dis- tributed among four clones. The umbels of one of these stalks were covered with fine-mesh nylon tricot netting during the day and exposed to insects between 2100 and 0400 h (night treatment); during a similar period of time those of the second stalk were covered during the dark and exposed to insects from 0900 to 1600 h (day treatment). Umbels of the third stalk were covered for 24 h and six flowers were hand-pollinated (each with two pollinia) during their first blooming day with pollinia from another clone. Half of these stalks were hand-pollinated at midday and the other half at midnight. Umbels of the fourth stalk were not covered (controls)","Asclepias syriaca",NA,"native","n","y","day pollination","authors refer to this as control",NA,"fruit set","Used the harvest measure (IV), which the authors also analyse",NA,30,1.43069306930693,"number of pods per stalk",0.32673267326732,"0.32673267326732014",NA,"SE",NA,"n",NA,"authors also include bagged day and night hand pollination, results not depicted in the MS"
"7","Jennersten_1991","Jennersten",1991,"The American Midland Naturalist","https://www.jstor.org/stable/2426365","E","CCN","n",NA,"United States","Maine",NA,43.8333333,"-70.0833333333333","provided in text","1987",NA,"July","July","y","0900","1600","y","2100","0400",700,1700,"We randomly selected 30 groups of four milkweed stalks dis- tributed among four clones. The umbels of one of these stalks were covered with fine-mesh nylon tricot netting during the day and exposed to insects between 2100 and 0400 h (night treatment); during a similar period of time those of the second stalk were covered during the dark and exposed to insects from 0900 to 1600 h (day treatment). Umbels of the third stalk were covered for 24 h and six flowers were hand-pollinated (each with two pollinia) during their first blooming day with pollinia from another clone. Half of these stalks were hand-pollinated at midday and the other half at midnight. Umbels of the fourth stalk were not covered (controls)","Asclepias syriaca",NA,"native","n","y","night pollination","authors refer to this as control",NA,"fruit set","Used the harvest measure (IV), which the authors also analyse",NA,30,0.594059405940594,"number of pods per stalk",0.168316831683168,"0.16831683168316802",NA,"SE",NA,"n",NA,"authors also include bagged day and night hand pollination, results not depicted in the MS"
"8","Jennersten_1991","Jennersten",1991,"The American Midland Naturalist","https://www.jstor.org/stable/2426365","E","CCN","n",NA,"United States","Maine",NA,43.8333333,"-70.0833333333333","provided in text","1987",NA,"July","July","y","0900","1600","y","2100","0400",700,1700,"We randomly selected 30 groups of four milkweed stalks dis- tributed among four clones. The umbels of one of these stalks were covered with fine-mesh nylon tricot netting during the day and exposed to insects between 2100 and 0400 h (night treatment); during a similar period of time those of the second stalk were covered during the dark and exposed to insects from 0900 to 1600 h (day treatment). Umbels of the third stalk were covered for 24 h and six flowers were hand-pollinated (each with two pollinia) during their first blooming day with pollinia from another clone. Half of these stalks were hand-pollinated at midday and the other half at midnight. Umbels of the fourth stalk were not covered (controls)","Asclepias syriaca",NA,"native","n","y","open pollination","authors refer to this as control",NA,"seed mass",NA,"table 3",135,4.77,"mg",0.13,"0.13",NA,"SE",NA,"n",NA,"authors also include bagged day and night hand pollination, results not depicted in the MS"
"9","Jennersten_1991","Jennersten",1991,"The American Midland Naturalist","https://www.jstor.org/stable/2426365","E","CCN","n",NA,"United States","Maine",NA,43.8333333,"-70.0833333333333","provided in text","1987",NA,"July","July","y","0900","1600","y","2100","0400",700,1700,"We randomly selected 30 groups of four milkweed stalks dis- tributed among four clones. The umbels of one of these stalks were covered with fine-mesh nylon tricot netting during the day and exposed to insects between 2100 and 0400 h (night treatment); during a similar period of time those of the second stalk were covered during the dark and exposed to insects from 0900 to 1600 h (day treatment). Umbels of the third stalk were covered for 24 h and six flowers were hand-pollinated (each with two pollinia) during their first blooming day with pollinia from another clone. Half of these stalks were hand-pollinated at midday and the other half at midnight. Umbels of the fourth stalk were not covered (controls)","Asclepias syriaca",NA,"native","n","y","day pollination","authors refer to this as control",NA,"seed mass",NA,"table 3",275,4.51,"mg",0.09,"0.09",NA,"SE",NA,"n",NA,"authors also include bagged day and night hand pollination, results not depicted in the MS"
"10","Jennersten_1991","Jennersten",1991,"The American Midland Naturalist","https://www.jstor.org/stable/2426365","E","CCN","n",NA,"United States","Maine",NA,43.8333333,"-70.0833333333333","provided in text","1987",NA,"July","July","y","0900","1600","y","2100","0400",700,1700,"We randomly selected 30 groups of four milkweed stalks dis- tributed among four clones. The umbels of one of these stalks were covered with fine-mesh nylon tricot netting during the day and exposed to insects between 2100 and 0400 h (night treatment); during a similar period of time those of the second stalk were covered during the dark and exposed to insects from 0900 to 1600 h (day treatment). Umbels of the third stalk were covered for 24 h and six flowers were hand-pollinated (each with two pollinia) during their first blooming day with pollinia from another clone. Half of these stalks were hand-pollinated at midday and the other half at midnight. Umbels of the fourth stalk were not covered (controls)","Asclepias syriaca",NA,"native","n","y","night pollination","authors refer to this as control",NA,"seed mass",NA,"table 3",256,4.78,"mg",0.17,"0.17",NA,"SE",NA,"n",NA,"authors also include bagged day and night hand pollination, results not depicted in the MS"
