"","study_ID","country","coordinates_lat","coordinates_lon","year_start","month_start","month_end","midDate","JDay_midDate","Lat_int","Daylength"
"1","Jürgens_2014","Germany",49.925183,11.585638,2006,"April","April",2023-04-15,105,50,13.7039541775854
"2","Jennersten_1991","United States",43.8333333,-70.0833333333333,1987,"July","July",2023-07-16,197,44,15.1225196721681
"3","Fleming_1996","Mexico",28.885068,-111.929278,1990,"April","May",2023-05-01,121,29,13.2546545260908
"4","Fleming_1996","Mexico",28.885068,-111.929278,1990,"May","May",2023-05-16,136,29,13.5891676134851
"5","Fleming_1996","Mexico",28.885068,-111.929278,1990,"May","June",2023-05-31,151,29,13.8370759531384
"6","Dar_2006","Mexico",18.33333336,-97.46666669,1997,"March","April",2023-03-31,90,18,12.2838564749713
"7","Navarro_1999","Colombia",1.16666669,-77.96666669,1995,"October","December",2023-11-15,319,1,12.0729870751939
"8","Payne_2019","South Africa",-25.763455,27.217038,2013,"July","July",2023-07-16,197,-26,10.6624439299482
"9","Payne_2019","South Africa",-25.763455,27.217038,2014,"July","July",2023-07-16,197,-26,10.6624439299482
"10","Hattori_2020","Japan",35.94736111,137.63927778,2016,"June","August",2023-07-16,197,36,14.3513325741067
"11","Ortega-Baes_2013","Argentina",-25.29214444,-65.27364722,2009,"November","January",2023-06-17,168,-25,10.5921678844889
"12","Grant_2021","Australia",-17.463649,145.479676,2013,"September","November",2023-10-16,289,-17,12.4699097488672
"13","Alonso-Pedano_2012","Argentina",-25.16669444,-65.81669444,2005,"December","December",2023-12-16,350,-25,13.6707153563721
"14","Alonso-Pedano_2012","Argentina",-25.16669444,-65.81669444,2006,"December","December",2023-12-16,350,-25,13.6707153563721
"15","Alonso-Pedano_2012","Argentina",-25.16669444,-65.81669444,2007,"December","December",2023-12-16,350,-25,13.6707153563721
"16","Arizaga_2000","Mexico",18.33336111,-97.46669444,1994,"April","May",2023-05-01,121,18,12.7785225798839
"17","Borbon-Palomares_2018","Mexico",28.29722222,-111.43333333,2015,"May","May",2023-05-16,136,28,13.5281916553621
"18","Cruz-Neto_2015","Brazil",-9.00002778,-35.86669444,2006,"November","December",2023-12-01,335,-9,12.6021525841844
"19","Aguilar-Rodriguez_2016","Mexico",19.53147222,-96.97780556,2011,"March","April",2023-03-31,90,20,12.3053181146414
"20","Anderson_1976","United States",40.818598,-96.702321,1971,"June","June",2023-06-15,166,41,15.0614335945297
"21","Anderson_1976","United States",41.807597,-72.253938,1971,"June","June",2023-06-15,166,42,15.1725572958136
"22","Anderson_2015","Canada",52.10871111,-106.706975,2009,"July","July",2023-07-16,197,52,16.1928518850623
"23","Anderson_2015","Canada",52.10871111,-106.706975,2010,"July","July",2023-07-16,197,52,16.1928518850623
"24","Anderson_2023","United Kingdom",50.984855,-0.354589,2021,"July","July",2023-07-16,197,51,16.0342770255637
"25","Balmford_2006","South Africa",-34.210717,24.834518,2005,"April","April",2023-04-15,105,-34,11.2751074285876
"26","Bartelmess_2006","United States",36.19472222,-86.69527778,1998,"May","August",2023-07-01,182,36,14.5466358493267
"27","Boulter_2005","Australia",-16.11694444,145.43361111,2002,"July","July",2023-07-16,197,-16,11.2607363084955
"28","Burgin_2023","United States",30.2832,-97.7801,2022,"April","April",2023-04-15,105,30,12.8670463722409
"29","Bustamente_2010","Mexico",31.80472222,-112.86555556,2003,"June","June",2023-06-15,166,32,14.2089857656481
"30","Bustamente_2010","Mexico",31.80472222,-112.86555556,2003,"July","July",2023-07-16,197,32,14.0312183876623
"31","Bustamente_2010","Mexico",31.80472222,-112.86555556,2004,"June","June",2023-06-15,166,32,14.2089857656481
"32","Bustamente_2010","Mexico",31.80472222,-112.86555556,2004,"July","July",2023-07-16,197,32,14.0312183876623
"33","Bustamente_2010","Mexico",29.56833333,-111.09138889,2003,"May","May",2023-05-16,136,30,13.6514476385074
"34","Bustamente_2010","Mexico",29.56833333,-111.09138889,2003,"June","June",2023-06-15,166,30,14.04663463192
"35","Bustamente_2010","Mexico",29.56833333,-111.09138889,2004,"May","May",2023-05-16,136,30,13.6514476385074
"36","Bustamente_2010","Mexico",29.56833333,-111.09138889,2004,"June","June",2023-06-15,166,30,14.04663463192
"37","Bustamente_2010","Mexico",29.56833333,-111.09138889,2004,"July","July",2023-07-16,197,30,13.8828390858733
"38","Bustamente_2010","Mexico",26.63666667,-109.31083333,2003,"May","May",2023-05-16,136,27,13.4684394041533
"39","Bustamente_2010","Mexico",26.63666667,-109.31083333,2003,"June","June",2023-06-15,166,27,13.816358305906
"40","Bustamente_2010","Mexico",26.63666667,-109.31083333,2003,"July","July",2023-07-16,197,27,13.6722244930807
"41","Bustamente_2010","Mexico",26.63666667,-109.31083333,2003,"August","August",2023-08-16,228,27,13.100616418915
"42","Bustamente_2010","Mexico",26.63666667,-109.31083333,2004,"May","May",2023-05-16,136,27,13.4684394041533
"43","Bustamente_2010","Mexico",26.63666667,-109.31083333,2004,"June","June",2023-06-15,166,27,13.816358305906
"44","Bustamente_2010","Mexico",26.63666667,-109.31083333,2004,"July","July",2023-07-16,197,27,13.6722244930807
"45","Bustamente_2010","Mexico",26.63666667,-109.31083333,2004,"August","August",2023-08-16,228,27,13.100616418915
"46","Carthew_1993","Australia",-34.675,150.72083333,1988,"July","July",2023-07-16,197,-35,10.0284589422745
"47","Carthew_1993","Australia",-34.675,150.72083333,1988,"August","August",2023-08-16,228,-35,10.8034227429494
"48","Carthew_1993","Australia",-34.675,150.72083333,1988,"September","September",2023-09-15,258,-35,11.822495689172
"49","Casas_1999","Mexico",18.331162,-97.469815,1995,"July","July",2023-07-16,197,18,13.1046037398356
"50","Casas_1999","Mexico",18.275875,-97.147198,1995,"July","July",2023-07-16,197,18,13.1046037398356
"51","Casas_1999","Mexico",18.106988,-97.756004,1995,"July","July",2023-07-16,197,18,13.1046037398356
"52","Chapurlat_2019","Sweden",56.71694444,16.73361111,2016,"June","June",2023-06-15,166,57,17.6909490175516
"53","Chapurlat_2015","Sweden",56.85027778,16.83361111,2012,"June","June",2023-06-15,166,57,17.6909490175516
"54","Chapurlat_2015","Sweden",56.75027778,16.75027778,2012,"June","June",2023-06-15,166,57,17.6909490175516
"55","Cozzolino_2015","Italy",40.839499,14.180897,2012,"May","May",2023-05-16,136,41,14.4525230880213
"56","de Avila_2011","Brazil",-22.50027778,-42.25027778,2005,"August","September",2023-08-31,243,-23,11.6115397844058
"57","de Oliveira Muniz_2019","Brazil",-5.13638889,-37.9975,2016,"February","June",2023-04-16,106,-5,11.9972939535064
"58","Doubleday_2018","United States",34.40824,-119.87909,2010,"June","July",2023-07-01,182,34,14.3675470775634
"59","Doubleday_2018","United States",36.91531,-121.85155,2010,"June","July",2023-07-01,182,37,14.6401434885906
"60","Doubleday_2018","United States",34.40824,-119.87909,2011,"June","July",2023-07-01,182,34,14.3675470775634
"61","Doubleday_2018","United States",34.21876,-119.25853,2011,"June","July",2023-07-01,182,34,14.3675470775634
"62","Doubleday_2018","United States",35.30072,-120.8756,2011,"June","July",2023-07-01,182,35,14.4558320027608
"63","Funamoto_2017","Japan",36.51694444,138.3475,2015,"August","September",2023-08-31,243,37,13.0485684319894
"64","Groman_1999","United States",36.08361111,-86.51416667,1996,"July","August",2023-07-31,212,36,14.0094623723022
"65","Groman_1999","United States",36.08361111,-86.51416667,1997,"July","August",2023-07-31,212,36,14.0094623723022
"66","Guitan_1993","Spain",42.499122,-6.82222,1991,"May","June",2023-05-31,151,42,14.952394770313
"67","Hove_2007","United States",40.383886,-123.146353,1999,"June","July",2023-07-01,182,40,14.9390053471269
"68","Hove_2007","United States",40.383886,-123.146353,2000,"June","July",2023-07-01,182,40,14.9390053471269
"69","Huang_2007","China",27.86694444,99.66694444,2005,"August","September",2023-08-31,243,28,12.7673140149268
"70","Jaeger_2023","United States",35.910695,-100.289754,2021,"May","May",2023-05-16,136,36,14.0577921223984
"71","James_1993","United States",32.28361111,-106.70027778,1990,"May","June",2023-05-31,151,32,14.0605547579756
"72","Jennersten_1988","Sweden",58.93361111,12.53361111,1984,"June","June",2023-06-15,166,59,18.2673074562806
"73","Jennersten_1988","Sweden",58.93361111,12.53361111,1985,"June","June",2023-06-15,166,59,18.2673074562806
