"","study_ID","country","coordinates_lat","coordinates_lon","elevation"
"1","Jürgens_2014","Germany",49.925183,11.585638,354
"2","Jennersten_1991","United States",43.8333333,-70.0833333333333,17
"3","Fleming_1996","Mexico",28.885068,-111.929278,2
"4","Dar_2006","Mexico",18.33333336,-97.46666669,1525
"5","Navarro_1999","Colombia",1.16666669,-77.96666669,1509
"6","Payne_2019","South Africa",-25.763455,27.217038,1337
"7","Hattori_2020","Japan",35.94736111,137.63927778,1201
"8","Ortega-Baes_2013","Argentina",-25.29214444,-65.27364722,963
"9","Grant_2021","Australia",-17.463649,145.479676,1139
"10","Alonso-Pedano_2012","Argentina",-25.16669444,-65.81669444,3322
"11","Arizaga_2000","Mexico",18.33336111,-97.46669444,1525
"12","Borbon-Palomares_2018","Mexico",28.29722222,-111.43333333,50
"13","Cruz-Neto_2015","Brazil",-9.00002778,-35.86669444,482
"14","Aguilar-Rodriguez_2016","Mexico",19.53147222,-96.97780556,1459
"15","Anderson_1976","United States",40.818598,-96.702321,359
"16","Anderson_1976","United States",41.807597,-72.253938,191
"17","Anderson_2015","Canada",52.10871111,-106.706975,486
"18","Anderson_2023","United Kingdom",50.984855,-0.354589,19
"19","Balmford_2006","South Africa",-34.210717,24.834518,9
"20","Bartelmess_2006","United States",36.19472222,-86.69527778,127
"21","Boulter_2005","Australia",-16.11694444,145.43361111,434
"22","Burgin_2023","United States",30.2832,-97.7801,156
"23","Bustamente_2010","Mexico",31.80472222,-112.86555556,503
"24","Bustamente_2010","Mexico",29.56833333,-111.09138889,500
"25","Bustamente_2010","Mexico",26.63666667,-109.31083333,22
"26","Carthew_1993","Australia",-34.675,150.72083333,558
"27","Casas_1999","Mexico",18.331162,-97.469815,1491
"28","Casas_1999","Mexico",18.275875,-97.147198,1247
"29","Casas_1999","Mexico",18.106988,-97.756004,1810
"30","Chapurlat_2019","Sweden",56.71694444,16.73361111,6
"31","Chapurlat_2015","Sweden",56.85027778,16.83361111,4
"32","Chapurlat_2015","Sweden",56.75027778,16.75027778,10
"33","Cozzolino_2015","Italy",40.839499,14.180897,90
"34","de Avila_2011","Brazil",-22.50027778,-42.25027778,26
"35","de Oliveira Muniz_2019","Brazil",-5.13638889,-37.9975,135
"36","Doubleday_2018","United States",34.40824,-119.87909,2
"37","Doubleday_2018","United States",36.91531,-121.85155,3
