,old_name,plant_species,plant_family,flower_symmetry,lifespan,life_form,ps_pathway,flower_shape,breeding_system,bloom_period,bloom_period_simple,nectar,odour,color,flower_width_midpoint_mm,flower_length_midpoint_mm,style_length_midpoint_mm,plant_height_midpoint_m
1,Abronia fragrans,Abronia fragrans,Nyctaginaceae,actinomorphic,perennial,herb,C3,tube,hermaphrodite,dusk,night,present,present,pink,8,25,15,0.7
2,Abronia umbellata,Abronia umbellata,Nyctaginaceae,actinomorphic,short-lived,herb,C3,tube,hermaphrodite,both,both,present,present,purple,16,20,8,0.075
3,Echinopsis leucantha,Acanthocalycium leucanthum,Cactaceae,actinomorphic,perennial,herb,CAM,tube,hermaphrodite,dusk,night,present,absent,white,113.62,198.14,150,1.25
4,Adenophora capillaris,Adenophora capillaris,Campanulaceae,actinomorphic,perennial,herb,C3,campanulate,hermaphrodite,dusk,night,present,present,white,4.95,13.9,27.25,0.75
5,Adenophora jasionifolia,Adenophora jasionifolia,Campanulaceae,actinomorphic,perennial,herb,C3,campanulate,hermaphrodite,day,day,present,absent,blue,29.19,18.44,22.18,0.35
6,Adenophora khasiana,Adenophora khasiana,Campanulaceae,actinomorphic,perennial,herb,C3,campanulate,hermaphrodite,dusk,night,present,absent,purple,24.65,20.59,25.37,1
7,Adenophora triphylla,Adenophora triphylla,Campanulaceae,actinomorphic,perennial,herb,C3,campanulate,hermaphrodite,dusk,night,present,absent,purple,9.5,9.5,17,1.5
8,Aegiceras corniculatum,Aegiceras corniculatum,Primulaceae,actinomorphic,perennial,tree,C3,brush,hermaphrodite,day,day,present,present,white,15,12,10.35,6
9,Agarista revoluta,Agarista revoluta,Ericaceae,actinomorphic,perennial,tree,C3,campanulate,hermaphrodite,both,both,present,present,white,6.1,8.7,4.4,2.7
10,Agave angustifolia,Agave angustifolia,Asparagaceae,actinomorphic,perennial,herb,CAM,tube,hermaphrodite,both,both,present,present,white,12.5,65,95,0.75
11,Agave chrysantha,Agave chrysantha,Asparagaceae,actinomorphic,perennial,herb,CAM,tube,hermaphrodite,day,day,present,present,yellow,12.5,40,57.5,1
12,Agave colorata,Agave colorata,Asparagaceae,actinomorphic,perennial,herb,CAM,tube,hermaphrodite,day,day,present,present,green,12.5,47.5,65,2.5
13,Agave horrida,Agave horrida,Asparagaceae,actinomorphic,perennial,herb,CAM,tube,hermaphrodite,night,night,present,present,yellow,17.5,40,55,0.45
14,Agave macroacantha,Agave macroacantha,Asparagaceae,actinomorphic,perennial,herb,CAM,tube,hermaphrodite,dusk,night,present,present,green,9,57.5,62.5,0.45
15,Agave palmeri,Agave palmeri,Asparagaceae,actinomorphic,perennial,herb,CAM,tube,hermaphrodite,day,day,present,present,green,17.5,40,50,0.45
16,Agave subsimplex,Agave subsimplex,Asparagaceae,actinomorphic,perennial,herb,CAM,tube,hermaphrodite,both,both,present,present,yellow,15,37.5,52.5,0.275
17,Manfreda virginica,Agave virginica,Asparagaceae,actinomorphic,perennial,herb,CAM,tube,hermaphrodite,both,both,present,present,green,4,20,32.5,1
18,Aloe peglerae,Aloe peglerae,Asphodelaceae,actinomorphic,short-lived,herb,CAM,tube,hermaphrodite,night,night,present,absent,yellow,13,30,55,0.4
19,Asclepias syriaca,Asclepias syriaca,Apocynaceae,actinomorphic,perennial,herb,C3,open,hermaphrodite,both,both,present,present,pink,12.5,9,0.41,1.5
20,Asclepias verticillata,Asclepias verticillata,Apocynaceae,actinomorphic,perennial,herb,C3,open,hermaphrodite,both,both,present,present,pink,4.2,3.33,0.375,0.45
21,Banksia ericifolia,Banksia ericifolia,Proteaceae,actinomorphic,perennial,shrub,C3,brush,hermaphrodite,NA,NA,present,present,orange,57.5,150,25,6
22,Billbergia horrida,Billbergia horrida,Bromeliaceae,actinomorphic,perennial,herb,CAM,tube,hermaphrodite,night,night,present,present,green,55,25,50,0.4
23,Durio grandiflorus,Boschia grandiflora,Malvaceae,actinomorphic,perennial,tree,C3,open,hermaphrodite,day,day,absent,present,white,60,15,25,11.5
24,Brunsvigia gregaria,Brunsvigia gregaria,Amaryllidaceae,actinomorphic,perennial,herb,C3,tube,hermaphrodite,NA,NA,present,absent,red,35,40,40,0.185
25,Calliandra longipedicellata,Calliandra longipedicellata,Fabaceae,actinomorphic,perennial,shrub,C3,brush,hermaphrodite,dusk,night,present,present,red,60,50,60,2
26,Carnegiea gigantea,Carnegiea gigantea,Cactaceae,actinomorphic,perennial,herb,CAM,tube,hermaphrodite,night,night,present,present,white,24.9,112.2,53.9,8
