"","flower_symmetry","lifespan","life_form","flower_shape","breeding_system","bloom_period_simple","nectar","odour","color","flower_width_midpoint_mm","flower_length_midpoint_mm","style_length_midpoint_mm","plant_height_midpoint_m"
"Abronia fragrans","actinomorphic","perennial","herb","tube","hermaphrodite","night","present","present","pink",8,25,15,0.7
"Abronia umbellata","actinomorphic","short-lived","herb","tube","hermaphrodite","both","present","present","purple",16,20,8,0.075
"Acanthocalycium leucanthum","actinomorphic","perennial","herb","tube","hermaphrodite","night","present","absent","white",113.62,198.14,150,1.25
"Adenophora capillaris","actinomorphic","perennial","herb","campanulate","hermaphrodite","night","present","present","white",4.95,13.9,27.25,0.75
"Adenophora jasionifolia","actinomorphic","perennial","herb","campanulate","hermaphrodite","day","present","absent","blue",29.19,18.44,22.18,0.35
"Adenophora khasiana","actinomorphic","perennial","herb","campanulate","hermaphrodite","night","present","absent","purple",24.65,20.59,25.37,1
"Adenophora triphylla","actinomorphic","perennial","herb","campanulate","hermaphrodite","night","present","absent","purple",9.5,9.5,17,1.5
"Aegiceras corniculatum","actinomorphic","perennial","tree","brush","hermaphrodite","day","present","present","white",15,12,10.35,6
"Agarista revoluta","actinomorphic","perennial","tree","campanulate","hermaphrodite","both","present","present","white",6.1,8.7,4.4,2.7
"Agave angustifolia","actinomorphic","perennial","herb","tube","hermaphrodite","both","present","present","white",12.5,65,95,0.75
"Agave chrysantha","actinomorphic","perennial","herb","tube","hermaphrodite","day","present","present","yellow",12.5,40,57.5,1
"Agave colorata","actinomorphic","perennial","herb","tube","hermaphrodite","day","present","present","green",12.5,47.5,65,2.5
"Agave horrida","actinomorphic","perennial","herb","tube","hermaphrodite","night","present","present","yellow",17.5,40,55,0.45
"Agave macroacantha","actinomorphic","perennial","herb","tube","hermaphrodite","night","present","present","green",9,57.5,62.5,0.45
"Agave palmeri","actinomorphic","perennial","herb","tube","hermaphrodite","day","present","present","green",17.5,40,50,0.45
"Agave subsimplex","actinomorphic","perennial","herb","tube","hermaphrodite","both","present","present","yellow",15,37.5,52.5,0.275
"Agave virginica","actinomorphic","perennial","herb","tube","hermaphrodite","both","present","present","green",4,20,32.5,1
"Aloe peglerae","actinomorphic","short-lived","herb","tube","hermaphrodite","night","present","absent","yellow",13,30,55,0.4
"Asclepias syriaca","actinomorphic","perennial","herb","open","hermaphrodite","both","present","present","pink",12.5,9,0.41,1.5
"Asclepias verticillata","actinomorphic","perennial","herb","open","hermaphrodite","both","present","present","pink",4.2,3.33,0.375,0.45
"Banksia ericifolia","actinomorphic","perennial","shrub","brush","hermaphrodite",NA,"present","present","orange",57.5,150,25,6
"Billbergia horrida","actinomorphic","perennial","herb","tube","hermaphrodite","night","present","present","green",55,25,50,0.4
"Boschia grandiflora","actinomorphic","perennial","tree","open","hermaphrodite","day","absent","present","white",60,15,25,11.5
"Brunsvigia gregaria","actinomorphic","perennial","herb","tube","hermaphrodite",NA,"present","absent","red",35,40,40,0.185
"Calliandra longipedicellata","actinomorphic","perennial","shrub","brush","hermaphrodite","night","present","present","red",60,50,60,2
