"","accepted_name","seed_set_incl","fruit_set_incl","seed_set_pd","fruit_set_pd"
"1","Carnegiea gigantea",1,1,NA,1.15078361836097
"2","Luehea seemannii",1,1,NA,1.28558763006999
"3","Leucostele chiloensis",1,1,-0.0412016109514997,1.59728853508331
"4","Salix caprea",1,NA,1.00992295772915,NA
"5","Asclepias syriaca",1,1,NA,NA
"6","Pachycereus pringlei",1,1,NA,NA
"7","Stenocereus thurberi",1,1,NA,NA
"8","Lophocereus marginatus",NA,1,NA,1.06827927496493
"9","Macleania bullata",NA,1,NA,NA
"10","Aloe peglerae",1,1,1.37321241451131,1.17347949229957
"11","Platanthera hologlottis",NA,1,NA,2.37805541912517
"12","Soehrensia thelegona",NA,1,NA,NA
"13","Soehrensia schickendantzii",1,1,NA,NA
"14","Agave macroacantha",NA,1,NA,1.72269098413892
"15","Agave colorata",1,1,-0.243050959369698,1.54199898156359
"16","Inga vera",1,1,NA,NA
"17","Inga striata",1,1,NA,NA
"18","Inga ingoides",1,1,NA,NA
"19","Tillandsia heterophylla",1,1,NA,NA
"20","Tilia americana",NA,1,NA,NA
"21","Tilia platyphyllos",NA,1,NA,NA
"22","Tilia cordata",NA,1,NA,NA
"23","Silene latifolia",1,1,2.33198087429693,4.67741801573381
"24","Brunsvigia gregaria",1,NA,1.31467171368217,NA
"25","Silene latifolia  subsp. alba",1,1,0.976602195452245,NA
"26","Syzygium sayeri",NA,1,NA,0.717051912949366
"27","Phlox drummondii",NA,1,NA,1.74551674840665
"28","Stenocereus stellatus",NA,1,NA,NA
"29","Gymnadenia conopsea",1,1,1.72181996311029,1.50377088988532
"30","Randia itatiaiae",1,1,NA,NA
"31","Selenicereus monacanthus",1,1,4.37445412743611,1.46712822174481
"32","Selenicereus undatus",1,1,-0.994714138305607,-0.197516585765231
"33","Abronia umbellata",1,NA,0.917087758201821,NA
"34","Adenophora triphylla",1,NA,0.818554466803876,NA
"35","Agave virginica",1,1,NA,3.32355945280759
"36","Lonicera etrusca",NA,1,NA,NA
"37","Silene lemmonii",1,1,NA,NA
"38","Pedicularis siphonantha",1,NA,3.30715923855862,NA
"39","Abronia fragrans",1,NA,2.26206533955147,NA
"40","Silene viscaria",1,NA,1.60123671515437,NA
"41","Grevillea robusta",NA,1,NA,0.14919908688048
"42","Ochroma pyramidale",NA,1,NA,NA
"43","Guettarda scabra",NA,1,NA,0.936303737477713
"44","Syzygium laetum",NA,1,NA,0.579978025869981
"45","Syzygium mundagam",NA,1,NA,0.993497746299906
"46","Oreocereus celsianus",1,1,1.20770828575629,0.862790379479744
"47","Adenophora jasionifolia",1,NA,4.7755315026074,NA
"48","Adenophora khasiana",1,NA,2.68832579979366,NA
"49","Adenophora capillaris",1,NA,4.08122280731358,NA
"50","Jatropha curcas",1,1,0.426864543465879,1.01569217215045
"51","Ipomoea habeliana",1,1,-0.0948712111139011,0.139193083030964
"52","Agave angustifolia",NA,1,NA,NA
"53","Agave subsimplex",1,1,NA,NA
"54","Pachycereus pecten-aboriginum",1,1,NA,0.842501270356001
"55","Lilium auratum",1,1,NA,NA
"56","Leucostele terscheckii",1,1,NA,NA
"57","Sonneratia caseolaris",NA,1,NA,0.286410312221487
"58","Aegiceras corniculatum",NA,1,NA,-0.0282636227846866
"59","Rubus chamaemorus",NA,1,NA,6.6810510288126
"60","Prunus persica",NA,1,NA,-0.142962473347548
"61","Vitis rotundifolia",NA,1,NA,-0.0275002485632768
"62","Silene nutans",1,1,NA,NA
"63","Luculia pinceana",1,NA,4.15788550407795,NA
"64","Lyonia lucida",NA,1,NA,0.474060874254225
"65","Escallonia myrtoidea",1,NA,0.0738993698185938,NA
"66","Malus domestica",1,1,NA,0.75273789049293
"67","Stachyurus praecox",1,NA,NA,NA
"68","Leptocereus scopulophilus",NA,1,NA,NA
"69","Pseudalcantarea macropetala",1,1,NA,NA
"70","Trifolium pratense",1,NA,1.20382445215874,NA
"71","Ipomoea carnea",NA,1,NA,1.51085118755421
"72","Psittacanthus robustus",NA,1,NA,-0.00215484967704852
"73","Lophocereus schottii",1,1,NA,NA
"74","Cullenia exarillata",NA,1,NA,NA
"75","Vaccinium angustifolium",1,1,0.299658977204842,0.568641279927932
"76","Agave horrida",1,1,NA,NA
"77","Nicotiana rustica",1,1,1.83736831821828,0.879803409077446
"78","Tournefortia rufo-sericea",NA,1,NA,0.0375516784518696
"79","Clerodendrum villosum",1,1,0.667078707228299,-0.237953531949076
"80","Plocama calabrica",NA,1,NA,4.3216273995883
"81","Silene sennenii",1,NA,1.99307221753211,NA
"82","Pterocereus gaumeri",NA,1,NA,1.57357365058535
"83","Calliandra longipedicellata",NA,1,NA,NA
"84","Agave chrysantha",NA,1,NA,NA
"85","Agave palmeri",1,1,1.41834410012088,0.940209304784122
"86","Banksia ericifolia",NA,1,NA,0.502971342158431
"87","Stenocereus quevedonis",NA,1,NA,NA
"88","Stenocereus queretaroensis",1,1,NA,2.82131706912959
"89","Echium simplex",1,1,-0.655088561784096,2.36417892329451
"90","Mitrastemon yamamotoi",1,1,0.174609961540999,0.534985876213382
"91","Boschia grandiflora",NA,1,NA,0.229939323214126
"92","Durio oblongus",NA,1,NA,0.522972751997615
"93","Durio kutejensis",NA,1,NA,0.241957625581532
"94","Silene caroliniana",NA,1,NA,1.85458441746778
"95","Silene virginica",NA,1,NA,0.977008487668414
"96","Silene stellata",NA,1,NA,2.6007826107391
"97","Polaskia chichipe",NA,1,NA,1.69990707972398
"98","Acanthocalycium leucanthum",NA,1,NA,1.11139942371741
"99","Yucca aloifolia",NA,1,NA,2.24094689477431
"100","Yucca filamentosa",NA,1,NA,1.95952070743613
"101","Silene ciliata",1,1,NA,NA
"102","Isertia laevis",1,NA,0.997236682087594,NA
"103","Silene vulgaris",1,1,NA,0.176011241324168
"104","Mabea fistulifera",NA,1,NA,2.47993217491624
"105","Agarista revoluta",NA,1,NA,NA
"106","Cipocereus minensis",NA,1,NA,2.18698233423472
"107","Cordia lutea",1,1,-1.03505689989672,-1.03356725551798
"108","Billbergia horrida",1,1,NA,NA
"109","Eupatorium perfoliatum",1,NA,0.752584146920691,NA
"110","Castilleja sessiliflora",NA,1,NA,NA
"111","Castilleja purpurea  var. citrina",NA,1,NA,NA
"112","Castilleja purpurea  var. lindheimeri",NA,1,NA,NA
