"trait","treatment","linear","delta","QM","QMdf","QMp","QE","QEdf","QEp","r2m","r2c","env","sign"
"Flower symmetry","Day vs. night",NA,-2.497,1.303,1,0.254,6289.577,398,0,0.008,0.746,"Trait",""
"Flower symmetry","B) Night vs. open pollination",NA,-2.388,1.906,1,0.167,2709.269,350,0,0.015,0.731,"Trait",""
"Flower symmetry","A) Day vs. open pollination",NA,-0.283,0.026,1,0.872,3215.788,340,0,0,0.648,"Trait",""
"Lifespan","Day vs. night",NA,-1.724,0.34,1,0.56,6325.926,398,0,0.003,0.746,"Trait",""
"Lifespan","B) Night vs. open pollination",NA,-0.703,0.251,1,0.616,2703.73,350,0,0.002,0.728,"Trait",""
"Lifespan","A) Day vs. open pollination",NA,-1.23,1.157,1,0.282,3226.134,340,0,0.006,0.647,"Trait",""
"Life form","Day vs. night",NA,-5.645,3.308,3,0.346,6297.745,396,0,0.017,0.746,"Trait",""
"Life form","B) Night vs. open pollination",NA,-8.599,8.838,3,0.032,2532.436,348,0,0.056,0.741,"Trait","*"
"Life form","A) Day vs. open pollination",NA,-9.446,14.482,3,0.002,3063.166,338,0,0.056,0.656,"Trait","*"
"PS pathway","Day vs. night",NA,-4.833,3.548,1,0.06,5981.595,398,0,0.029,0.747,"Trait",""
"PS pathway","B) Night vs. open pollination",NA,-1.792,0.71,1,0.4,2709.827,350,0,0.01,0.73,"Trait",""
"PS pathway","A) Day vs. open pollination",NA,-3.831,3.982,1,0.046,2785.913,340,0,0.035,0.645,"Trait","*"
"Flower shape","Day vs. night",NA,-8.146,3.932,4,0.415,5967.583,395,0,0.023,0.75,"Trait",""
"Flower shape","B) Night vs. open pollination",NA,-9.019,8.383,4,0.079,2644.502,347,0,0.058,0.738,"Trait",""
"Flower shape","A) Day vs. open pollination",NA,-7.758,11.655,4,0.02,2826.214,337,0,0.055,0.642,"Trait","*"
"Breeding system","Day vs. night",NA,-5.244,3.09,2,0.213,6276.023,397,0,0.017,0.748,"Trait",""
"Breeding system","B) Night vs. open pollination",NA,-4.344,4.236,2,0.12,2616.41,349,0,0.027,0.727,"Trait",""
"Breeding system","A) Day vs. open pollination",NA,-0.745,0.891,2,0.641,3210.377,339,0,0.004,0.651,"Trait",""
"Bloom period","Day vs. night",NA,-17.043,15.561,2,0,5936.653,397,0,0.092,0.751,"Trait","*"
"Bloom period","B) Night vs. open pollination",NA,-5.968,5.591,2,0.061,2627.306,349,0,0.039,0.739,"Trait",""
"Bloom period","A) Day vs. open pollination",NA,-6.705,7.995,2,0.018,2931.189,339,0,0.045,0.652,"Trait","*"
"Nectar","Day vs. night",NA,-1.333,0.008,1,0.929,6177.091,398,0,0,0.745,"Trait",""
"Nectar","B) Night vs. open pollination",NA,-1.795,1.382,1,0.24,2708.944,350,0,0.01,0.728,"Trait",""
"Nectar","A) Day vs. open pollination",NA,-1.158,1.159,1,0.282,3075.949,340,0,0.006,0.637,"Trait",""
"Odour","Day vs. night",NA,-19.549,19.748,1,0,6089.821,398,0,0.087,0.746,"Trait","*"
"Odour","B) Night vs. open pollination",NA,-30.611,33.619,1,0,2451.883,350,0,0.156,0.723,"Trait","*"
"Odour","A) Day vs. open pollination",NA,-2.715,3.218,1,0.073,3225.18,340,0,0.013,0.655,"Trait",""
"Flower colour","Day vs. night",NA,-22.871,17.804,6,0.007,5539.079,393,0,0.074,0.745,"Trait","*"
"Flower colour","B) Night vs. open pollination",NA,-14.376,14.939,6,0.021,2497.502,345,0,0.078,0.733,"Trait","*"
